都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
132195,1,東京都,狛江市,狛江市役所,ｺﾏｴｼﾔｸｼｮ,狛江市和泉本町１丁目１番5号,,35.63494013,139.5787757,本庁舎２階総合案内前,03-3430-1111,2442・2421,,狛江市,月火水木金,8:30,17:00,土日、祝日、年末年始を除く,有,"https://www.city.komae.tokyo.jp/index.cfm/42,73691,328,2043,html",
132195,2,東京都,狛江市,狛江市役所,ｺﾏｴｼﾔｸｼｮ,狛江市和泉本町１丁目１番5号,防災センター２階,35.63466216,139.5781963,安心安全課カウンター,03-3430-1111,2442・2421,,狛江市,月火水木金,8:30,17:00,土日、祝日、年末年始を除く,有,"https://www.city.komae.tokyo.jp/index.cfm/42,73691,328,2043,html",指揮車備付けの携帯型を設置
132195,3,東京都,狛江市,狛江市立狛江第一小学校,ｺﾏｴｼﾘﾂｺﾏｴﾀﾞｲｲﾁｼｮｳｶﾞｯｺｳ,狛江市和泉本町１丁目37番1号,,35.63733,139.57809,校舎昇降口,03-3480-0241,,,,,,,学校開校時使用可,有,,
132195,4,東京都,狛江市,狛江市立狛江第三小学校,ｺﾏｴｼﾘﾂｺﾏｴﾀﾞｲｻﾝｼｮｳｶﾞｯｺｳ,狛江市猪方１丁目11番1号,,35.62810934,139.585056,校舎昇降口,03-3480-8585,,,,,,,学校開校時使用可,有,,
132195,5,東京都,狛江市,狛江市立狛江第五小学校,ｺﾏｴｼﾘﾂﾀﾞｲｺﾞｼｮｳｶﾞｯｺｳ,狛江市東野川１丁目35番13号,,35.64393576,139.5816416,校舎昇降口,03-3489-4430,,,,,,,学校開校時使用可,有,,
132195,6,東京都,狛江市,狛江市立狛江第六小学校,ｺﾏｴｼﾘﾂｺﾏｴﾀﾞｲﾛｸｼｮｳｶﾞｯｺｳ,狛江市駒井町１丁目21番1号,,35.62460954,139.5852024,校舎昇降口,03-3480-9981,,,,,,,学校開校時使用可,有,,
132195,7,東京都,狛江市,狛江市立和泉小学校,ｺﾏｴｼﾘﾂｲｽﾞﾐｼｮｳｶﾞｯｺｳ,狛江市中和泉３丁目33丁目1番,,35.63473697,139.5683215,校舎昇降口,03-3480-3881,,,,,,,学校開校時使用可,有,,
132195,8,東京都,狛江市,狛江市立緑野小学校,ｺﾏｴｼﾘﾂﾐﾄﾞﾘﾉｼｮｳｶﾞｯｺｳ,狛江市和泉本町4丁目3番１号,,35.64171,139.57103,校舎昇降口,03-3489-5418,,,,,,,学校開校時使用可,有,,
132195,9,東京都,狛江市,狛江市立狛江第一中学校,ｺﾏｴｼﾘﾂﾀﾞｲｲﾁﾁｭｳｶﾞｯｺｳ,狛江市和泉本町２丁目15番1号,,35.64082622,139.5776589,校舎昇降口,03-3480-0121,,,,,,,学校開校時使用可,有,,
132195,10,東京都,狛江市,狛江市立狛江第二中学校,ｺﾏｴｼﾘﾂﾀﾞｲﾆﾁｭｳｶﾞｯｺｳ,狛江市猪方２丁目7番1号,,35.62727,139.58314,校舎昇降口,03-3480-8891,,,,,,,学校開校時使用可,有,,
